wavelength_nm,transmission_db
1549.25,-6.091703791598442
1549.3,-6.10309519963584
1549.35,-6.115530375958558
1549.4,-6.129011433909649
1549.45,-6.143540493718696
1549.5,-6.1591196796547205
1549.55,-6.175751116935723
1549.6,-6.1934369283809385
1549.65,-6.212179230791062
1549.7,-6.231980131036781
1549.75,-6.252841721841817
1549.8,-6.274766077236816
1549.85,-6.2977552476673
1549.9,-6.321811254732919
1549.95,-6.346936085532379
1550.0,-6.373131686595349
1550.05,-6.400399957369346
1550.1,-6.428742743236614
1550.15,-6.458161828032656
1550.2,-6.488658926031768
1550.25,-6.520235673371861
1550.3,-6.5528936188768006
1550.35,-6.586634214243762
1550.4,-6.621458803556077
1550.45,-6.657368612076443
1550.5,-6.694364734278748
1550.55,-6.732448121072508
1550.6,-6.771619566168195
1550.65,-6.811879691531949
1550.7,-6.853228931874775
1550.75,-6.895667518119972
1550.8,-6.939195459783058
1550.85,-6.983812526203735
1550.9,-7.029518226561326
1550.95,-7.076311788600142
1551.0,-7.124192135994654
1551.05,-7.173157864270737
1551.1,-7.223207215208357
1551.15,-7.274338049632609
1551.2,-7.326547818510157
1551.25,-7.379833532260807
1551.3,-7.434191728179446
1551.35,-7.4896184358812254
1551.4,-7.546109140659407
1551.45,-7.603658744657979
1551.5,-7.6622615257503
1551.55,-7.7219110940120945
1551.6,-7.782600345687957
1551.65,-7.844321414530509
1551.7,-7.907065620410757
1551.75,-7.970823415088462
1551.8,-8.035584325033714
1551.85,-8.10133689120179
1551.9,-8.168068605661354
1551.95,-8.235765844983288
1552.0,-8.304413800321193
1552.05,-8.373996404096617
1552.1,-8.444496253252407
1552.15,-8.515894529025024
1552.2,-8.588170913226019
1552.25,-8.661303501040688
1552.3,-8.73526871038478
1552.35,-8.810041187885398
1552.4,-8.885593711611696
1552.45,-8.961897090699198
1552.5,-9.03892006209465
1552.55,-9.116629184679917
1552.6,-9.194988731118226
1552.65,-9.273960577834048
1552.7,-9.353504093623933
1552.75,-9.433576027488272
1552.8,-9.514130396370879
1552.85,-9.595118373617266
1552.9,-9.676488179064838
1552.95,-9.75818497182863
1553.0,-9.840150746972265
1553.05,-9.922324237403936
1553.1,-10.004640822492101
1553.15,-10.087032445056735
1553.2,-10.169427538552423
1553.25,-10.25175096642265
1553.3,-10.333923975764376
1553.35,-10.415864167596132
1553.4,-10.497485486169182
1553.45,-10.57869822987319
1553.5,-10.659409086402833
1553.55,-10.739521194915302
1553.6,-10.818934237941697
1553.65,-10.897544565804612
1553.7,-10.975245356214918
1553.75,-11.051926811617962
1553.8,-11.127476396611812
1553.85,-11.201779117514638
1553.9,-11.274717845774568
1553.95,-11.34617368644542
1554.0,-11.416026392415716
1554.05,-11.484154824398601
1554.1,-11.55043745597517
1554.15,-11.614752922128439
1554.2,-11.676980608807252
1554.25,-11.737001280102394
1554.3,-11.794697738585558
1554.35,-11.849955513363465
1554.4,-11.902663569371704
1554.45,-11.952715030482807
1554.5,-12.000007908106587
1554.55,-12.04444582620042
1554.6,-12.085938732999544
1554.65,-12.124403589342716
1554.7,-12.159765023266715
1554.75,-12.191955940580165
1554.8,-12.220918081415654
1554.85,-12.246602513326808
1554.9,-12.268970052318206
1554.95,-12.287991604276334
1555.0,-12.303648420573792
1555.05,-12.315932263110623
1555.1,-12.324845475708486
1555.15,-12.330400960513693
1555.2,-12.332622059851799
1555.25,-12.331542345750748
1555.3,-12.327205321050087
1555.35,-12.319664037592027
1555.4,-12.308980638395361
1555.45,-12.2952258319096
1555.5,-12.278478307400206
1555.55,-12.258824101213218
1555.6,-12.236355924095722
1555.65,-12.2111724599136
1555.7,-12.183377646018648
1555.75,-12.153079945201842
1555.8,-12.120391618644772
1555.85,-12.085428008588844
1555.9,-12.04830683861216
1555.95,-12.00914753848048
1556.0,-11.96807059953871
1556.05,-11.925196965597904
1556.1,-11.880647463249808
1556.15,-11.834542274549111
1556.2,-11.787000454071775
1556.25,-11.738139491470154
1556.3,-11.68807491987791
1556.35,-11.636919969802479
1556.4,-11.584785267539417
1556.45,-11.531778576641198
1556.5,-11.478004580551477
1556.55,-11.423564704186312
1556.6,-11.368556972014925
1556.65,-11.313075900005973
1556.7,-11.257212418725972
1556.75,-11.201053824813256
1556.8,-11.144683758092755
