wavelength_nm,port_1_db,port_2_db,port_3_db,port_4_db,port_5_db,port_6_db,port_7_db,port_8_db,port_9_db,port_10_db,port_11_db,port_12_db,port_13_db,port_14_db,port_15_db,port_16_db
1523.4625,-28.305461989080527,-29.027389909216765,-49.90187315643883,-50.62380107657508,-12.790001263810272,-13.511929183946512,-34.38641243116858,-35.10834035130482,-19.0580236325872,-19.77995155272344,-40.654434799945506,-41.376362720081744,-3.542562907316946,-4.264490827453187,-25.138974074675254,-25.860901994811492
1523.6,-30.22173144167347,-30.867705255844193,-52.78571389185345,-53.43168770602417,-13.726612770032123,-14.372586584202846,-36.2905952202121,-36.93656903438282,-19.94409889256929,-20.590072706740013,-42.508081342749264,-43.15405515691999,-3.448980220927942,-4.094954035098664,-26.012962671107918,-26.658936485278637
1523.7375,-32.38380891439362,-32.95389159072487,-56.03510301376549,-56.60518569009675,-14.790665886602387,-15.360748562933644,-38.441959985974265,-39.01204266230552,-20.963778936719773,-21.53386161305103,-44.615073036091644,-45.185155712422905,-3.370635908928544,-3.9407185852598015,-27.021930008300423,-27.592012684631676
1523.875,-34.86036275625483,-35.3546114119988,-59.75305213646636,-60.0,-16.016473358906556,-16.510722014650522,-40.90916273911808,-41.40341139486205,-22.151170389687273,-22.64541904543124,-47.043859769898795,-47.53810842564277,-3.3072809923389963,-3.8015296480829637,-28.199970372550524,-28.69421902829449
1524.0125,-37.75448907637476,-38.17295500079758,-60.0,-60.0,-17.455564481094616,-17.874030405517438,-43.7952887759237,-44.21375470034653,-23.55762672179308,-23.9760926462159,-49.89735101662217,-50.31581694104499,-3.258702126512936,-3.6771680509357556,-29.598426421342023,-30.016892345764845
1524.15,-41.23142357238336,-41.57415224738454,-60.0,-60.0,-19.19054096287943,-19.53326963788061,-47.265564476256905,-47.608293151258096,-25.265602033166807,-25.608330708167987,-53.34062554654429,-53.68335422154546,-3.224719423662879,-3.5674480986640607,-31.299742937040357,-31.642471612041536
1524.2875,-45.581341669909406,-45.84837278839597,-60.0,-60.0,-21.366476958542382,-21.63350807702894,-51.610157416904784,-51.87718853539135,-27.42004937263092,-27.68708049111748,-57.66372983099332,-57.93076094947988,-3.205184661263894,-3.472215779750453,-33.4488651196263,-33.715896238112855
1524.425,-51.38928508531892,-51.580652567347364,-60.0,-60.0,-24.27588231401577,-24.467249796044214,-57.41410291230859,-57.60547039433703,-30.31338260733908,-30.504750089367523,-60.0,-60.0,-3.1999798360359293,-3.391347318064371,-36.338200434328755,-36.529567916357195
1524.5625,-60.0,-60.0,-60.0,-60.0,-28.667060546519878,-28.7827925532255,-60.0,-60.0,-34.693833326376485,-34.809565333082105,-60.0,-60.0,-3.2090160318739085,-3.324748038579531,-40.71597549724632,-40.83170750395194
1524.7,-60.0,-60.0,-60.0,-60.0,-37.89937126612224,-37.93949021144408,-60.0,-60.0,-43.920712463784156,-43.960831409106014,-60.0,-60.0,-3.232232577525247,-3.272351522847097,-49.94149768432141,-49.981616629643256
1524.8375,-60.0,-60.0,-60.0,-60.0,-39.00488862600204,-38.969411186219574,-60.0,-60.0,-45.02606821035026,-44.990590770567806,-60.0,-60.0,-3.269596476343786,-3.2341190365613266,-51.04681303293505,-51.01133559315259
1524.975,-60.0,-60.0,-60.0,-60.0,-29.137468391302505,-29.026405512388674,-60.0,-60.0,-35.163752792422166,-35.05268991350833,-60.0,-60.0,-3.3211020963262,-3.210039217412368,-41.18577301432036,-41.074710135406534
1525.1125,-52.01163063766761,-51.824987540467276,-60.0,-60.0,-24.680863633411533,-24.494220536211206,-58.03624269668877,-57.84959959948844,-30.717538118342752,-30.53089502114242,-60.0,-60.0,-3.3867711140866783,-3.2001280168863504,-36.74215017736392,-36.555507080163586
