wavelength_nm,through_db,cross_db
1505.2,-0.8147806692827813,-7.668458932305258
1505.55,-0.40416506910919614,-10.512770810329641
1505.9,-0.16877980628928715,-14.18875487491145
1506.25,-0.05411246185554143,-19.07189832408562
1506.6,-0.010676109611991998,-26.09904983373155
1506.95,-0.00044620585002747617,-39.8827136155423
1507.3,-0.0004318035682011922,-40.02519674500134
1507.65,-0.0010400834799750777,-36.20768116062901
1508.0,-0.0006351193851724479,-38.34960698364254
1508.35,-9.978166238061189e-05,-46.387385652774505
1508.7,-5.0831576117822694e-05,-49.31653276931789
1509.05,-0.0005878758959933848,-38.685280510915824
1509.4,-0.002095046687744074,-33.16695353837906
1509.75,-0.0063939926150640616,-28.323318413732213
1510.1,-0.01884741708898675,-23.634744998494853
1510.45,-0.05190021096318429,-19.25207614387545
1510.8,-0.12889218712488865,-15.339863887620668
1511.15,-0.28575684403262647,-11.959971729917594
1511.5,-0.5692542912233246,-9.106298598218139
1511.85,-1.0328715848774552,-6.743585209251841
1512.2,-1.7329832784155186,-4.8276158534914195
1512.55,-2.727337939527985,-3.3129911016649243
1512.9,-4.076657538310077,-2.154838509612328
1513.25,-5.8495621041497206,-1.3079303273802045
1513.6,-8.131745369479516,-0.7250319669121781
1513.95,-11.042883354076674,-0.35576464245052847
1514.3,-14.772065043617697,-0.1472031747632112
1514.65,-19.66893439593735,-0.04712430480460216
1515.0,-26.565478656694022,-0.009587728863301828
1515.35,-39.00841502408952,-0.0005457202816735009
1515.7,-43.49244807341202,-0.0001943341927415537
1516.05,-38.76912821153486,-0.0005766341002093725
1516.4,-41.16409139111681,-0.0003321939982471532
1516.75,-50.802105065635814,-3.610568675793521e-05
1517.1,-48.95555821908833,-5.523714853621998e-05
1517.45,-39.81751388197614,-0.0004529555346756556
1517.8,-34.2318770383364,-0.0016393760031670984
1518.15,-29.04543216850128,-0.005413919105596349
1518.5,-24.050433152961233,-0.017123671915257325
1518.85,-19.47768278306432,-0.04925798069190252
1519.2,-15.46706828248121,-0.12511758216159607
1519.55,-12.042340759074996,-0.2802111844908606
1519.9,-9.171123187735281,-0.5602521056809533
1520.25,-6.8031273676751605,-1.0170231331507087
1520.6,-4.88605223362898,-1.704611787502233
1520.95,-3.3702902499324203,-2.6778788925846033
1521.3,-2.208939658635813,-3.9937613162085137
1521.65,-1.3560740849704835,-5.71541734958574
1522.0,-0.7646953659348363,-7.919697422056879
1522.35,-0.385385172580198,-10.710160845068097
1522.7,-0.1666692860093706,-14.242355498407665
1523.05,-0.057867394505433524,-18.782405397336465
1523.4,-0.014134335409072937,-24.882154434517144
1523.75,-0.00165165186350711,-34.1994837958174
1524.1,-2.0377011955869385e-06,-60.0
1524.45,-0.00024303166492236166,-42.521336007263876
1524.8,-0.0001971631162786921,-43.429684955997025
1525.15,-3.141784781060031e-05,-51.406094505695556
1525.5,-1.8057515726930545e-05,-53.81127212412267
1525.85,-0.00020634836995724032,-43.231935861465445
1526.2,-0.0008435125640030515,-37.11734930515847
1526.55,-0.0031627505408404716,-31.37877500558227
1526.9,-0.011217141820087567,-25.884628369123604
1527.25,-0.035223547558098305,-20.92711204309176
1527.6,-0.0953310404052313,-16.63307811460572
1527.95,-0.22353958367332893,-12.995589121012861
1528.3,-0.46231748508775383,-9.957548239734981
1528.65,-0.860736989675366,-7.452401297218566
1529.0,-1.4704525826654131,-5.417834273175435
1529.35,-2.343502637306463,-3.7983763661020804
1529.7,-3.532670471290389,-2.544068276603579
1530.05,-5.094318836805309,-1.6079484598535396
1530.4,-7.093679796431936,-0.9434895734004839
1530.75,-9.61348936874164,-0.5027233979550784
1531.1,-12.768951550454453,-0.2358457639595092
1531.45,-16.73744088900294,-0.09304307835782269
1531.8,-21.829548228791005,-0.028592909490228396
1532.15,-28.71240509462752,-0.005845693674203859
1532.5,-39.58768760385537,-0.00047757263021198183
1532.85,-55.64914808938098,-1.1826877367818927e-05
1533.2,-46.888755690235584,-8.890233901519596e-05
1533.55,-50.875425202598386,-3.5501243562366555e-05
1533.9,-60.0,-2.9655150856203273e-07
1534.25,-50.043732722417104,-4.299452831822479e-05
1534.6,-42.69444415382151,-0.00023353478216687936
1534.95,-36.023530675826294,-0.0010851393178414786
1535.3,-29.635575853637647,-0.004725665612835843
1535.65,-23.943491455634607,-0.01755142738278462
1536.0,-19.08096273678342,-0.053998934044013916
1536.35,-15.000874976485196,-0.13952576905747818
1536.7,-11.607987732055584,-0.31076428547903423
1537.05,-8.808754337742577,-0.612602875838174
1537.4,-6.523280839672054,-1.0939749482701662
1537.75,-4.685146117059807,-1.8045939817091463
1538.1,-3.238069998455795,-2.793882609115897
1538.45,-2.1321464904884344,-4.112217963638177
1538.8,-1.320430035420673,-5.814189390756193
1539.15,-0.7562446112697803,-7.963856948871438
1539.5,-0.3916851823885402,-10.64284247931408
1539.85,-0.177941229153438,-13.963744091008888
1540.2,-0.06786402606573542,-18.09533473222197
1540.55,-0.020275733315569634,-23.318211331849334
1540.9,-0.004169262213167744,-30.179335481075565
1541.25,-0.00042134493349102594,-40.131676023097384
1541.6,-1.427323799641332e-06,-60.0
1541.95,-1.2449946405687936e-05,-55.42617451899468
1542.3,-3.3909982225972403e-06,-60.0
1542.65,-1.116473428647087e-06,-60.0
1543.0,-1.8584137077686506e-05,-53.68642840348413
1543.35,-0.00013852331897984353,-44.96268348868636
1543.7,-0.0009518089985822537,-36.592820944963414
1544.05,-0.00503587733504736,-29.35960937907399
1544.4,-0.01999224059305584,-23.379220702744195
1544.75,-0.06217820426465108,-18.472513370530177
1545.1,-0.15902478178206877,-14.442464799448526
1545.45,-0.34829966196158546,-11.13129859048465
1545.8,-0.674677987840739,-8.419850430512575
1546.15,-1.1856245356312143,-6.217705479791325
1546.5,-1.9285652205926163,-4.454156909827619
1546.85,-2.950205089167418,-3.0712380598990583
1547.2,-4.297870433051037,-2.0184500669747085
1547.55,-6.022460643856018,-1.2487672996772063
1547.9,-8.182847096038598,-0.7158115501799698
1548.25,-10.852096245551168,-0.3724465326987334
1548.6,-14.126690584813836,-0.1712576566879654
1548.95,-18.141270842204285,-0.06714445053936047
1549.3,-23.09414352705986,-0.02135192904881321
1549.65,-29.294792047333644,-0.005111644752503485
1550.0,-37.257161213865956,-0.000816787398242647
1550.35,-47.86769519955867,-7.096077326206015e-05
1550.7,-60.0,-2.571015226023043e-06
1551.05,-60.0,-6.48558731771317e-08
1551.4,-60.0,-4.933531459013406e-08
1551.75,-60.0,-3.715374958209971e-08
1552.1,-53.42698140496683,-1.9728186151394532e-05
1552.45,-39.965469814362564,-0.00043778332843799617
1552.8,-31.032226289456855,-0.003425570813032333
1553.15,-24.35920898577429,-0.015946320359965536
1553.5,-19.126690432018986,-0.05342985826750608
1553.85,-14.923882881415633,-0.14206261062171943
1554.2,-11.510296445910047,-0.3180991803949474
1554.55,-8.73087390557858,-0.6245237733963201
1554.9,-6.478213443116213,-1.106971761515156
1555.25,-4.673092547152376,-1.8108166176063392
1555.6,-3.253217951904828,-2.78025259309441
1555.95,-2.1660728736584773,-4.059227553525614
1556.3,-1.3640496197284782,-5.693729794571269
1556.65,-0.8011642122273279,-7.735053440863293
1557.0,-0.431297526884587,-10.243937672686474
1557.35,-0.2082524530082132,-13.29565200326382
1557.7,-0.0878173370284567,-16.98587515885344
1558.05,-0.0313176032068624,-21.43560733167839
1558.4,-0.009110982123339842,-26.786745862565926
1558.75,-0.0021000609295733774,-33.156574149085706
1559.1,-0.000390342463023893,-40.463580301234856
1559.45,-6.629418356930812e-05,-48.16312199473404
1559.8,-9.202326181247262e-06,-56.73887148389501
1560.15,-5.852015930697602e-07,-60.0
1560.5,-1.76394623996004e-05,-53.9129984829723
1560.85,-1.9668330773198062e-05,-53.440177912231235
1561.2,-2.724812393055369e-05,-52.024490677946986
1561.55,-0.0011135099307623098,-35.91145890994537
1561.9,-0.007945872147071683,-27.38039971566492
1562.25,-0.03239423639861744,-21.28935269175593
1562.6,-0.09639190640096795,-16.585544227307725
1562.95,-0.23218362695388853,-12.835101817432125
1563.3,-0.47967931704429656,-9.805965538518343
1563.65,-0.8824327441500659,-7.354775094352898
1564.0,-1.484230507780921,-5.38383012046308
1564.35,-2.3274308711592666,-3.820943826966584
1564.7,-3.4531207026603057,-2.608482084057446
1565.05,-4.902600605133369,-1.6966797018168964
1565.4,-6.719657927056229,-1.03931834069005
1565.75,-8.95321869626081,-0.5911310814386808
1566.1,-11.659965054174826,-0.306933359843834
1566.45,-14.906005824404634,-0.14265832480858398
1566.8,-18.76491921258015,-0.058102426841192545
1567.15,-23.304544653966243,-0.02033978876968604
1567.5,-28.543963835545355,-0.006077035090175084
1567.85,-34.35650165590491,-0.001592992726742942
1568.2,-40.41349079076137,-0.00039487075999409
1568.55,-46.852844400707276,-8.964051712204111e-05
1568.9,-58.865919960270894,-5.6388766841543345e-06
1569.25,-53.062343680764094,-2.1456111432275797e-05
1569.6,-46.120927417778844,-0.0001060954781171654
1569.95,-46.379917696129034,-9.995339257434361e-05
1570.3,-54.22165694583413,-1.6429314309496302e-05
1570.65,-34.24816974786338,-0.0016332361941736762
1571.0,-25.740312468061873,-0.011596655831785123
1571.35,-19.875870984324095,-0.04492015900778175
1571.7,-15.407240077757853,-0.12687872183021917
1572.05,-11.869234610083204,-0.2919973563467423
1572.4,-9.025690267954714,-0.5806642090305378
1572.75,-6.734916534000178,-1.0352019898164515
1573.1,-4.9017855915421045,-1.6970693144161575
1573.45,-3.4563428596898,-2.6058312094113916
1573.8,-2.342588601742924,-3.799654452085113
1574.15,-1.5118630029743456,-5.316742793542293
1574.5,-0.918752113212023,-7.197140241758419
1574.85,-0.5188381506282989,-9.484360802943396
1575.2,-0.2682397292744054,-12.226041658258964
1575.55,-0.12497755343995914,-15.471861850032372
1575.9,-0.05174979140230531,-19.264606279938526
1576.25,-0.018929683443544027,-23.615871002600834
1576.6,-0.006200935673835298,-28.456370950298925
1576.95,-0.0019012259829486742,-33.58845628218767
1577.3,-0.0005658682126816943,-38.85097306023715
1577.65,-0.00013447888673714562,-45.09136930019288
1578.0,-2.9993721697853137e-06,-60.0
1578.35,-7.223095187232459e-05,-47.790645847252904
1578.7,-0.0002752124964215186,-41.98129922070873
1579.05,-0.00030781324749369095,-41.49512395050713
1579.4,-1.3765952061995221e-05,-54.98978746713939
1579.75,-0.0011657840716717562,-35.71224482023232
1580.1,-0.010670401036746895,-26.101369798452296
1580.45,-0.04391499859607709,-19.97365337778689
1580.8,-0.12631220802834026,-15.42639287647524
1581.15,-0.2919759307603997,-11.869542696759392
1581.5,-0.5802455551084068,-9.028617957886832
1581.85,-1.0318714983700064,-6.74731208802534
1582.2,-1.6863760141972026,-4.924236826794137
1582.55,-2.581085973817292,-3.4866325065056087
1582.9,-3.7515269806246208,-2.377328688796232
1583.25,-5.232569683794619,-1.5473996515149362
1583.6,-7.059717988502161,-0.9517706149268278
1583.95,-9.269906245567451,-0.5468246409506712
1584.3,-11.90085184804665,-0.2898070201596885
1584.65,-14.987090354962596,-0.1399765565713243
1585.0,-18.549005361920354,-0.061084981157947624
1585.35,-22.56926215517586,-0.02410253182754689
1585.7,-26.956738145339216,-0.008760894849885646
1586.05,-31.54141083126868,-0.003046460435453792
1586.4,-36.26994006314074,-0.0010252778331164203
1586.75,-41.972443546433354,-0.00027577427104976966
1587.1,-55.15124856314767,-1.3263560359792826e-05
1587.45,-46.709892305068905,-9.264024880941558e-05
1587.8,-39.88239389284652,-0.0004462387020944435
1588.15,-37.97464218769636,-0.0006923962576547224
1588.5,-41.36446258772851,-0.0003172151444542248
1588.85,-44.05780318276689,-0.00017061315876385933
1589.2,-29.020178306142004,-0.005445512105691351
1589.55,-21.757002004189573,-0.029076163879429615
1589.9,-16.70799294868409,-0.09368299052436803
1590.25,-12.860582523687011,-0.23078861966243205
1590.6,-9.823028931980865,-0.4776910053200605
1590.95,-7.394015255612997,-0.8736405689267885
1591.3,-5.451621055619499,-1.4569118174393247
1591.65,-3.9128355100442036,-2.263437523278305
1592.0,-2.71529753547404,-3.3268108247130375
1592.35,-1.8077263189329962,-4.679072276460184
1592.7,-1.1444172803742496,-6.351649635562332
1593.05,-0.6821237506062003,-8.375810124504603
1593.4,-0.378799782004618,-10.781769236174616
1593.75,-0.19406778010175654,-13.59498129208917
1594.1,-0.09112285962892909,-16.82705147597463
1594.45,-0.039259113206886895,-20.458053028040695
1594.8,-0.0157531014774319,-24.41205657657723
1595.15,-0.00606134228160328,-28.55518534025629
1595.5,-0.0022711218569345525,-32.81657425550052
1595.85,-0.0007501896808978609,-37.62650734249759
1596.2,-0.00012127053508618627,-45.54035080985986
1596.55,-2.74411471726912e-05,-51.99383420313119
1596.9,-0.00042447631720751185,-40.099520702644625
1597.25,-0.0010348563543515034,-36.22955982372169
1597.6,-0.0011233233418160237,-35.873356929659565
1597.95,-0.0002782748515003086,-41.9332426530532
1598.3,-0.0007163439873366304,-37.82698508035224
1598.65,-0.01063470532775993,-26.115904773244786
1599.0,-0.04702833085029869,-19.677740410981716
1599.35,-0.13628135756092621,-15.101441094467638
1599.7,-0.31208485889216125,-11.590224156579946
1600.05,-0.6118052455298515,-8.81402323942453
1600.4,-1.073012468556043,-6.597261047932582
1600.75,-1.7312926118221261,-4.831065528935585
1601.1,-2.61952224041011,-3.439748024594991
1601.45,-3.7681665486399982,-2.3652425922172644
1601.8,-5.205976664736469,-1.5588324483359601
1602.15,-6.960462226817508,-0.9764404437769594
1602.5,-9.057447467990317,-0.5761401685252767
1602.85,-11.518712914158964,-0.3174602442454445
1603.2,-14.356132727359538,-0.16227801028356026
1603.55,-17.560256669025975,-0.07684136084492937
1603.9,-21.08326583132097,-0.033974678416837774
1604.25,-24.828206203380944,-0.014311299134155686
1604.6,-28.691162183986783,-0.0058743765105341555
1604.95,-32.75504257250685,-0.002303537177283032
1605.3,-37.821979221536054,-0.0007171702194691411
1605.65,-48.33210456147616,-6.376421880076496e-05
1606.0,-45.39066550349908,-0.0001255232100511995
1606.35,-37.156331741036475,-0.0008359743171834411
1606.7,-34.05145666185848,-0.0017089292718729188
1607.05,-33.97499102320886,-0.0017392906832687722
1607.4,-39.5061515148747,-0.0004866239624857596
1607.75,-38.19209872534253,-0.0006585782250138749
1608.1,-25.79709650138213,-0.011445817748352512
1608.45,-19.332824675202563,-0.050938515024179884
1608.8,-14.802552276236122,-0.14615591122461094
1609.15,-11.349173122648965,-0.3305915327439993
1609.5,-8.628550399476701,-0.6405661420221785
1609.85,-6.460973729975477,-1.1119896269074243
1610.2,-4.736373647744544,-1.7784374073839357
1610.55,-3.378883301632609,-2.67056563293334
1610.9,-2.330669746961927,-3.8163797240200186
1611.25,-1.5434801815090733,-5.241740305675819
1611.6,-0.9739139712961309,-6.970497859685181
1611.95,-0.580966624564818,-9.023576847502781
1612.3,-0.32534382969323067,-11.41607380735114
1612.65,-0.1702800428476775,-14.151067446251204
