wavelength_nm,port_1_db,port_2_db,port_3_db,port_4_db,port_5_db,port_6_db,port_7_db,port_8_db
1287.2,-17.94792740547726,-20.971877485616254,-18.845335972637415,-25.463869945184825,-24.594949117799526,-23.80340193304879,-0.21945734427891816,-27.652306640680177
1287.3,-16.478154217488843,-19.421320924083595,-17.697579486687044,-24.11683259491339,-23.17418326867731,-22.228691025527304,-0.3061064485855105,-26.084453264613888
1287.4,-15.210706576504538,-18.073346929863252,-16.755389283488974,-22.97822497765873,-22.010506230886683,-20.91079650374308,-0.4075413415376164,-24.79570194615491
1287.5,-14.098080992086432,-16.880444256817533,-15.97170911959694,-22.000850232292294,-21.039059715384578,-19.78481093178973,-0.5239756832786787,-23.713029089281022
1287.6,-13.108268859950147,-15.810596655590867,-15.314998723741645,-21.153034905367317,-20.21808302607019,-18.80892396507126,-0.6556599680167553,-22.790174340035033
1287.7,-12.218667793097719,-14.841194200606576,-14.76314886190206,-20.41254343953357,-19.519163523071107,-17.95467273191518,-0.8028842262387591,-21.996038009483524
1287.8,-11.412718976416736,-13.955670640647455,-14.300122863549296,-19.763219175118753,-18.922153248237276,-17.201858375104123,-0.9659812510878443,-21.30876570104764
1287.9,-10.677925528372405,-13.141521756643858,-13.913979686602413,-19.193006936769848,-18.4123056615733,-16.535682701708968,-1.1453304312646364,-20.712472900899762
1288.0,-10.004622598678711,-12.38907545555184,-13.595649363147071,-18.69272804225413,-17.97856315516633,-15.945035607412546,-1.3413622926972277,-20.195312180986683
1288.1,-9.38518097444006,-11.690695372801379,-13.338142736142217,-18.255289639274487,-17.612482768884625,-15.421420699191922,-1.5545638760893377,-19.748273760205937
1288.2,-8.813472831927012,-11.04024662048346,-13.136024293331412,-17.87515717270146,-17.307535875128476,-14.958254883240103,-1.785485108765277,-19.36441045744804
1288.3,-8.284502441863623,-10.432726489137583,-12.98505111577301,-17.54799299622067,-17.05863735960002,-14.550397444621204,-2.034746369209002,-19.038320351831395
1288.4,-7.794144244376996,-9.864002519295056,-12.881920618891234,-17.27040380331783,-16.86182138800604,-14.193825708107028,-2.3030474939753836,-18.76579254895983
1288.5,-7.338952880989904,-9.33062253014824,-12.824092003501846,-17.03976179237831,-16.714014240927828,-13.885407761894331,-2.5911785433104617,-18.543560072209182
1288.6,-6.916022692884868,-8.82967411457355,-12.809659345878435,-16.854077492607033,-16.612873672256864,-13.622741699042644,-2.9000327290892,-18.369125608334183
1288.7,-6.522881993674278,-8.358678908737367,-12.83726217423354,-16.711910096029513,-16.556675486678266,-13.404042071497484,-3.2306220242572614,-18.24063857538989
1288.8,-6.157412278518551,-7.91551179812487,-12.906024392613233,-16.612306154691264,-16.54423496317096,-13.228061183002076,-3.5840961275772902,-18.156809765448788
1288.9,-5.817785634803259,-7.498338325193852,-13.015515733707367,-16.554760822859244,-16.57485521276325,-13.094037308393897,-3.9617656667702734,-18.11685477816368
1289.0,-5.502415652373629,-7.1055655966562465,-13.165732252866597,-16.539198155019463,-16.648297583969565,-13.00166495192661,-4.365130809762631,-18.120460791244216
1289.1,-5.209918491753889,-6.735803348803975,-13.357094150772058,-16.56596874573956,-16.764771432603727,-12.951084460416705,-4.795916851754687,-18.16777360716457
1289.2,-4.939081697338031,-6.387832757866922,-13.590460725800392,-16.635864511222454,-16.924942348328287,-12.942890082614127,-5.2561189060974804,-18.259403812396428
1289.3,-4.688838987482629,-6.060581227330298,-13.867163740739734,-16.750151896098686,-17.12995956539357,-12.978157201179943,-5.748058628318819,-18.396452599691514
1289.4,-4.458249708712604,-5.753101839414251,-14.189062166684502,-16.910626467272678,-17.381505032618804,-13.058491211128455,-6.274457068362581,-18.580559604191137
1289.5,-4.246481967470785,-5.464556484151978,-14.558623410215258,-17.119694000037384,-17.68186875791247,-13.186102658735825,-6.838529473788245,-18.813977280068194
1289.6,-4.052798689656709,-5.194201916300959,-14.979039124336321,-17.380486156086434,-18.034057953789222,-13.36391616589598,-7.444110481247059,-19.09967928011846
1289.7,-3.8765460324309315,-4.941378164564291,-15.454388160971664,-17.697023310478105,-18.441951774976037,-13.59572492939864,-8.095822181978582,-19.441514582538176
1289.8,-3.717143702354901,-4.705498847192241,-15.989866182027212,-18.074444043875484,-18.910520031656244,-13.886409176870142,-8.799303980099705,-19.84442571375885
1289.9,-3.574076831400897,-4.486043045487877,-16.59211276047079,-18.519332130866218,-19.44613490504523,-14.242247604023124,-9.561533686713599,-20.31476006809491
1290.0,-3.446889136497657,-4.282548460889958,-17.269685930577303,-19.040190982949742,-20.05702257865014,-14.671368704315471,-10.39128708983692,-20.86072121799858
1290.1,-3.335177145094899,-4.094605638103711,-18.033767848176698,-19.64814920647313,-20.753933030688586,-15.184420233913468,-11.299814504117538,-21.49303844550544
1290.2,-3.2385853133231013,-3.9218530808625367,-18.89924741474471,-20.35804312887921,-21.551163688509646,-15.795592509945502,-12.301870207245534,-22.225990184326538
1290.3,-3.156801897741117,-3.763973121303607,-19.8864468278106,-21.190143255266133,-22.468183715680073,-16.524242309442748,-13.41734169926806,-23.07902813447476
1290.4,-3.0895554688694653,-3.6206884311569714,-21.024010452083566,-22.17304304923973,-23.532334290711695,-17.39759272427722,-14.673954277643684,-24.079477401636677
1290.5,-3.03661197635348,-3.491759084589307,-22.354038887254752,-23.348792913612805,-24.783587946544063,-18.455492037041612,-16.112034106141163,-25.267295725178627
1290.6,-2.9977722930255273,-3.376980099967088,-23.941949436789713,-24.78276057488418,-26.283590633847517,-19.75945527619257,-17.79355352994887,-26.70411545383239
1290.7,-2.972870179311698,-3.2761794019862926,-25.897482812282682,-26.584637705720624,-28.13464147559099,-21.41164341251246,-19.821113678044192,-28.492223233449486
1290.8,-2.961770621089175,-3.1892161572694504,-28.42651650189383,-28.96025321361762,-30.525506562530712,-23.600676540368873,-22.383760763546412,-30.820373754195213
1290.9,-2.964368503846485,-3.1159794462802455,-31.99141139370162,-32.37191978624837,-33.86829567458306,-26.73850992166799,-25.89386501797161,-34.100666440507304
1291.0,-2.9805875942673783,-3.0563872426769185,-38.06767013117516,-38.295092170400856,-39.39871958468312,-32.06069054099181,-31.587379958777724,-39.568802739332995
1291.1,-3.0103798075191253,-3.0103856783802083,-60.0,-60.0,-58.49766695106072,-50.94793316848981,-50.84542103231548,-58.605663011968396
1291.2,-3.0537247448756966,-2.9779485789852886,-38.219368857432926,-38.140853568116626,-41.637108768782134,-33.87202389056773,-34.140171633834946,-41.68321100018805
1291.3,-3.110629492089467,-2.959077259930684,-32.29281855046661,-32.06135733691524,-35.06381209372866,-27.079532809021085,-27.718598244159413,-35.04820758010311
1291.4,-3.1811286743656435,-2.953800579273564,-28.878137125094373,-28.493681907621593,-31.411503525029065,-23.20397638005456,-24.21461519196114,-31.334374290457568
1291.5,-3.26528476908206,-2.9621752482139203,-26.499513553062897,-25.96196875654552,-28.89287981882446,-20.457826749073696,-21.841096434586234,-28.754404009387752
