wavelength_nm,port_1_db,port_2_db,port_3_db,port_4_db,port_5_db,port_6_db,port_7_db,port_8_db,port_9_db,port_10_db,port_11_db,port_12_db,port_13_db,port_14_db,port_15_db,port_16_db
1500.6375,-3.3839408720759687,-24.59908717068511,-20.54673562698229,-22.137954741820586,-17.743601364347633,-23.33320081696594,-13.929782816397074,-24.071772723194805,-13.410429466905114,-23.995568962949104,-18.02454781453473,-23.318079728521234,-20.38167716586953,-22.223883384227314,-5.026997883642443,-24.194071346472434
1500.775,-3.051172126926148,-24.730513699068126,-20.709408415563324,-22.22133904730091,-17.784797702530206,-23.46945731602436,-14.169559019448217,-24.17487190511533,-13.392533597910187,-24.1222055318799,-18.211832178157422,-23.412645785056867,-20.449231317253492,-22.371316949043383,-5.497815429755,-24.31311541695562
1500.9125,-2.740934249419771,-24.91022063908167,-20.918784027041607,-22.351565203348823,-17.87231097033163,-23.652614815799524,-14.4545423832397,-24.324940558659314,-13.419513565813968,-24.295749944946273,-18.44548698589928,-23.554126778789612,-20.56347859730549,-22.56558924206327,-6.001645142766919,-24.47858470335154
1501.05,-2.4521793585396683,-25.140235447884084,-21.176654764778764,-22.530418684906415,-18.007914617751588,-23.88446191389142,-14.786574140158134,-24.523764742359198,-13.49308543029144,-24.51798877501391,-18.727312321043684,-23.74430917898716,-20.726201760719917,-22.808490060277148,-6.541342031632553,-24.692325638371727
1501.1875,-2.1839835598833295,-25.423292766351118,-21.485458505690712,-22.760330596963637,-18.194027350572483,-24.16743284849096,-15.168138913214335,-24.773776234445673,-13.615607354682236,-24.791354139139248,-19.059753602452865,-23.9856251090357,-20.9398291267026,-23.102454829247158,-7.120289691402877,-24.95682193272301
1501.325,-1.9355305422295175,-25.76297550023756,-21.848398676329168,-23.044497647591452,-18.433833088383583,-24.504727472059837,-15.602484816703761,-25.07817250208865,-13.79019933980678,-25.11904366307582,-19.44602156982603,-24.28127231973916,-21.20755455005669,-23.4506845775384,-7.742536798219474,-25.275315988753224
1501.4625,-1.706098020020383,-26.163915778006334,-22.269614775029215,-23.387052667097233,-18.73145146797952,-24.900481771123836,-16.093794094280057,-25.44108721714369,-14.020913483362545,-25.50519099094877,-19.890262814600387,-24.63538470876545,-21.533507938316745,-23.85731645726946,-8.412981335301158,-25.65198057320628
1501.6,-1.4950464665143115,-26.632081962124442,-22.754424421552528,-23.79330665472952,-19.092179873514073,-25.360009913603857,-16.647425276576378,-25.86783229979445,-14.312975744178507,-25.955107821406283,-20.39780183794786,-25.053274367666667,-21.92299729635662,-24.327665792211608,-9.137624088056224,-26.092161795121545
1501.7375,-1.3018097070440973,-27.1751938820023,-23.309670314667635,-24.27009573336603,-19.52284037379489,-25.890151204121707,-17.270260239462374,-26.365244870497673,-14.673132589337907,-26.47563085054799,-20.975488016330047,-25.54177853690681,-22.382855678899006,-24.86857303387295,-9.923925221123453,-26.6027268178193
1501.875,-1.125887035797041,-27.80333618568939,-23.944226555302777,-24.826287469822645,-20.032286024307137,-26.499776404912883,-17.971210621148412,-26.942193567838316,-15.110156979091986,-27.075628079111787,-21.632201932267098,-26.109765926534827,-22.92194750856389,-25.488910083204004,-10.781318733729622,-27.19257079939032
