wavelength_nm,transmission_db
1546.3,-5.001281097863419
1546.35,-4.868327983414963
1546.4,-4.738160464622029
1546.45,-4.610720101892692
1546.5,-4.485951052266539
1546.55,-4.363799924390009
1546.6,-4.244215643735239
1546.65,-4.127149327223429
1546.7,-4.012554166471294
1546.75,-3.9003853189718534
1546.8,-3.7905998065669424
1546.85,-3.6831564206413065
1546.9,-3.5780156335150517
1546.95,-3.475139515564652
1547.0,-3.3744916576212103
1547.05,-3.27603709827255
1547.1,-3.179742255698354
1547.15,-3.0855748637046068
1547.2,-2.9935039116608135
1547.25,-2.903499588060961
1547.3,-2.815533227456109
1547.35,-2.729577260521916
1547.4,-2.645605167051135
1547.45,-2.5635914316684505
1547.5,-2.4835115020917824
1547.55,-2.4053417497656366
1547.6,-2.3290594327219623
1547.65,-2.254642660515873
1547.7,-2.1820703611090355
1547.75,-2.111322249577593
1547.8,-2.0423787985356303
1547.85,-1.9752212101647135
1547.9,-1.9098313897510166
1547.95,-1.8461919206495359
1548.0,-1.7842860405823704
1548.05,-1.7240976191954125
1548.1,-1.6656111368076518
1548.15,-1.6088116642770347
1548.2,-1.5536848439299153
1548.25,-1.5002168714848476
1548.3,-1.4483944789287475
1548.35,-1.3982049182859426
1548.4,-1.3496359462394778
1548.45,-1.3026758095548434
1548.5,-1.2573132312692374
1548.55,-1.2135373976110413
1548.6,-1.171337945604489
1548.65,-1.130704951336708
1548.7,-1.0916289188514685
1548.75,-1.0541007696376095
1548.8,-1.0181118326928265
1548.85,-0.9836538351296041
1548.9,-0.9507188933066486
1548.95,-0.9192995044588258
1549.0,-0.8893885388071766
1549.05,-0.8609792321299437
1549.1,-0.8340651787785012
1549.15,-0.8086403251167082
1549.2,-0.784698963374592
1549.25,-0.7622357258975044
1549.3,-0.7412455797790197
1549.35,-0.7217238218667078
1549.4,-0.7036660741267791
1549.45,-0.6870682793605696
1549.5,-0.6719266972595033
1549.55,-0.658237900793111
1549.6,-0.6459987729208516
1549.65,-0.6352065036202388
1549.7,-0.6258585872254118
1549.75,-0.6179528200704247
1549.8,-0.6114872984316643
1549.85,-0.6064604167658124
1549.9,-0.6028708662386341
1549.95,-0.6007176335426873
1550.0,-0.5999999999999936
1550.05,-0.6007175409491979
1550.1,-0.602870125415008
1550.15,-0.6064579160595431
1550.2,-0.6114813694156431
1550.25,-0.6179412364023291
1550.3,-0.6258385631239509
1550.35,-0.6351746919539518
1550.4,-0.645951262906949
1550.45,-0.6581702153004604
1550.5,-0.6718337897109911
1550.55,-0.6869445302280784
1550.6,-0.7035052870120263
1550.65,-0.7215192191593246
1550.7,-0.740989797883034
1550.75,-0.761920810016312
1550.8,-0.7843163618435091
1550.85,-0.8081808832701449
1550.9,-0.8335191323407698
1550.95,-0.8603362001131466
1551.0,-0.888637515901402
1551.05,-0.9184288528989316
1551.1,-0.9497163341962471
1551.15,-0.9825064392041337
1551.2,-1.016806010499244
1551.25,-1.052622261110446
1551.3,-1.0899627822578604
1551.35,-1.1288355515686954
1551.4,-1.1692489417865464
1551.45,-1.211211729997134
1551.5,-1.2547331073942922
1551.55,-1.2998226896074694
1551.6,-1.3464905276217425
1551.65,-1.3947471193167633
1551.7,-1.4446034216519474
1551.75,-1.4960708635376572
1551.8,-1.5491613594202032
1551.85,-1.6038873236209712
1551.9,-1.6602616854718337
1551.95,-1.718297905283615
1552.0,-1.7780099912029943
1552.05,-1.8394125169975641
1552.1,-1.9025206408275952
1552.15,-1.9673501250620582
1552.2,-2.033917357195844
1552.25,-2.1022393719376637
1552.3,-2.17233387453718
1552.35,-2.244219265429212
1552.4,-2.3179146662754273
1552.45,-2.3934399474876646
1552.5,-2.470815757341612
1552.55,-2.5500635527634348
1552.6,-2.6312056319168935
1552.65,-2.714265168701733
1552.7,-2.799266249292475
1552.75,-2.886233910863516
1552.8,-2.97519418264376
1552.85,-3.066174129470825
1552.9,-3.159201898018737
1552.95,-3.2543067658923457
1553.0,-3.351519193802984
1553.05,-3.450870881048899
1553.1,-3.5523948245451225
1553.15,-3.656125381682111
1553.2,-3.7620983373048182
1553.25,-3.87035097513039
1553.3,-3.9809221539632897
1553.35,-4.093852389087095
1553.4,-4.209183939265621
1553.45,-4.326960899804174
1553.5,-4.447229302190918
1553.55,-4.570037220877381
1553.6,-4.695434887806294
1553.65,-4.82347481538241
1553.7,-4.954211928619935
1553.75,-5.087703707319822
1553.8,-5.224010339174633
1553.85,-5.36319488483948
1553.9,-5.505323456093131
1553.95,-5.650465408357537
1554.0,-5.798693548979616
1554.05,-5.950084362845728
1554.1,-6.104718257088883
1554.15,-6.262679826852569
1554.2,-6.424058144317634
1554.25,-6.588947073492185
1554.3,-6.757445613545558
1554.35,-6.92965827385824
1554.4,-7.105695484372188
1554.45,-7.28567404528701
1554.5,-7.469717620736347
1554.55,-7.657957281688321
1554.6,-7.850532104086581
1554.65,-8.047589829124085
1554.7,-8.249287593536978
1554.75,-8.455792739045894
1554.8,-8.66728371145966
1554.85,-8.883951061612244
1554.9,-9.105998562326558
1554.95,-9.333644457904528
1555.0,-9.567122865499304
1555.05,-9.806685351054744
1555.1,-10.052602706584796
1555.15,-10.305166960515011
1555.2,-10.564693658677957
1555.25,-10.831524461004694
1555.3,-11.106030107766248
1555.35,-11.388613820390203
1555.4,-11.679715215569946
1555.45,-11.979814828515217
1555.5,-12.289439362846146
1555.55,-12.609167811840727
1555.6,-12.939638630583794
1555.65,-13.281558183299826
1555.7,-13.635710748010261
1555.75,-14.00297043630341
1555.8,-14.384315485726864
1555.85,-14.78084551521084
1555.9,-15.193802512622515
1555.95,-15.624596567231793
1556.0,-16.074837695571503
1556.05,-16.54637557879662
1556.1,-17.041349695613306
1556.15,-17.562253295496937
1556.2,-18.112016066657933
1556.25,-18.69411246395895
1556.3,-19.312705890854392
1556.35,-19.972843991748928
1556.4,-20.68072846678444
1556.45,-21.444096374483152
1556.5,-22.27277322347494
1556.55,-23.17950000930506
1556.6,-24.18121510041947
1556.65,-25.30112868285377
1556.7,-26.57226185163065
1556.75,-28.04389849226808
1556.8,-29.794404383417252
